,Region_name,Observed_indoor_richness,Observed_naturalized_richness,Projected_naturalized_richness_indoor_current,Projected_naturalized_richness_indoor_2C,Projected_naturalized_richness_indoor_4C,Projected_naturalized_richness_difference_2C,Projected_naturalized_richness_difference_4C,Projected_naturalized_richness_difference_warm_scen,Observed_harmful_indoor_richness,Observed_harmful_naturalized_richness,Projected_harmful_naturalized_richness_indoor_current,Projected_harmful_naturalized_richness_indoor_2C,Projected_harmful_naturalized_richness_indoor_4C,Projected_harmful_naturalized_richness_difference_2C,Projected_harmful_naturalized_richness_difference_4C,Projected_harmful_naturalized_richness_warm_scen,Observed_env_impact_indoor,Observed_env_impact_naturalized,Cumulative_env_SWIS_indoor_current,Cumulative_env_SWIS_indoor_2C,Cumulative_env_SWIS_indoor_4C,Projected_env_SWIS_difference_2C,Projected_env_SWIS_difference_4C,Projected_env_SWIS_difference_warm_scen,Observed_soc_impact_indoor,Observed_soc_impact_naturalized,Cumulative_soc_SWIS_indoor_current,Cumulative_soc_SWIS_indoor_2C,Cumulative_soc_SWIS_indoor_4C,Projected_soc_SWIS_difference_2C,Projected_soc_SWIS_difference_4C,Projected_soc_SWIS_difference_warm_scen
42,Bolivia,NA,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
43,Bosnia and Herzegovina,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
44,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Bouvet Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Boyaca,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
47,British Columbia,4,5,0.055242106,0.070229296,0.156089893,0.01498719,0.100847787,0.085860597,3,1,0.055093989,0.070042759,0.15568184,0.01494877,0.100587851,0.085639081,17,10,0.220300622,0.281866786,0.644567395,0.061566164,0.424266773,0.362700609,19,4,0.319776136,0.407775157,0.917455674,0.087999022,0.597679538,0.509680516
48,Buenos Aires,1,5,0.099758853,0.131759712,0.170185453,0.032000859,0.0704266,0.038425741,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
49,Bulgaria,1,3,0.012964488,0.017909181,0.028737537,0.004944693,0.015773048,0.010828355,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
50,Burkina Faso,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
51,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
