gen,sp,Species.name,strat1,strat2,strat3,strata_classified,description,source
Tetramorium,pauper,Tetramorium.pauper,litter.soil,,,litter.soil,"Tetramorium pauper was found nesting inside a small decayed twig in Yemen (Sharaf et al., 2017). The soil was moist due to irrigation of the date palm orchard. Several workers were nesting under a rock. A nest series was collected from a dry leaf litter next to a date palm tree using a sifting tray.",antwiki
Tetramorium,semilaeve,Tetramorium.semilaeve,ground.surface,,,ground,"Most observed nests were located in the littoral zone on the flat, sandy areas covered with sparse vegetation or on stony pastures. The locality with the highest altitude in the examined material here is from Andalucia, Igualeja placed 720 m a.s.l. Sanetra et al. (1999) noted that in Italy most samples were collected below 1000 m a.s.l. and only occasionally above this altitude. All nests were located under stones, from small to very large size, and consisted of from several to several hundred workers. (Borowiec et al., 2015.)",antwiki
Tetramorium,sericeiventre,Tetramorium.sericeiventre,ground.surface,,,ground,"102 times ground forager(s), 59 times ground nest, 20 times ex soil, 12 times under stone, 9 times leaf litter, 4 times 0, 2 times under coconut, 6 times on low vegetation, 2 times ex rotten log, 3 times pitfall trap, 3 times Foraging ground, …",antweb
Tetramorium,simillimum,Tetramorium.simillimum,ground.surface,,,ground,"Found under rotting coconut boles that had been prostrated some years ago by a hurricane. These nests contained many males and winged females (May 14). On New Providence the species was common under stones in the Queen's Staircase in Nassau, in the Menendez Sisal Plantation near Stanley, and in the dwindling 'pine yards' near the Blue Hills. In Culebra a few colonies were found nesting under stones and logs on the beach. Nests are usually in soil in open areas, often around buildings or parking lots. ",antwiki
Tetramorium,smithi,Tetramorium.smithi,ground.surface,litter.soil,,ground & litter,Tetramorium smithi has been collected from a ground nest and litter samples.,antwiki
Tetramorium,tonganum,Tetramorium.tonganum,arboreal,ground.surface,,arboreal & ground,"23 times sifted litter, 24 times malaise trap, 1 times nesting under bark, 1 times on pavement, 2 times on coconuts (in cargo), 1 times Ngaremlengui aspirated from moss/epiphyte layer on betelnut trees near Ngarameskang, 1 times nesting in log, 2 times foraging on vegetation, 1 times under bark, 1 times litter sifting, 1 times ex. soil, leaf itter, decaying wood, ...",antweb
Tetramorium,tsushimae,Tetramorium.tsushimae,ground.surface,,,ground,pavement ant; see antwiki,antwiki
Tetraponera,allaborans,Tetraponera.allaborans,arboreal,,,arboreal,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Tetraponera,nigra,Tetraponera.nigra,arboreal,,,arboreal,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Tetraponera,rufonigra,Tetraponera.rufonigra,arboreal,,,arboreal,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Trichomyrmex,destructor,Trichomyrmex.destructor,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Trichomyrmex,mayri,Trichomyrmex.mayri,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Trichomyrmex,robustior,Trichomyrmex.robustior,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Trichomyrmex,wroughtoni,Trichomyrmex.wroughtoni,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Vollenhovia,emeryi,Vollenhovia.emeryi,litter.soil,,,litter.soil,,pers. obs.
Vollenhovia,nipponica,Vollenhovia.nipponica,litter.soil,,,litter.soil,,pers. obs.
Vollenhovia,oblonga alluaudi,Vollenhovia.oblonga alluaudi,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Vollenhovia,piroskae,Vollenhovia.piroskae,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Wasmannia,auropunctata,Wasmannia.auropunctata,arboreal,ground.surface,litter.soil,All,"nests can be almost anywhere: in rolled leaves or dead sticks in the leaf litter, under stones, in rotten wood, in hollow stems suspended above the ground, in ant-plant domatia, and under epiphytes.",antwiki
