Country_global,Report_ava,Country_global_modified,Notes,Report_num,language,threat,IAS_list,Existing_mgmt,intro,research,outreach,reactive,proactive,Checked against shape 27th July 2015,Report checked April 2016
Poland,Poland,Poland,,5th,English,1,1,0.5,0.5,1,1,2.5,2.5,yes,yes
Portugal,Portugal,Portugal,,4th,English,1,1,0.5,0.5,1,1,2.5,2.5,inconsistencies corrected,yes
Puerto Rico,,Puerto Rico,,,,,,,,,,,,,
Qatar,Qatar,Qatar,,5th,Arabic,1,0.5,0,0,0,0,1.5,0,yes,
Romania,Romania,Romania,,4th,English,1,0.5,0,0.5,0,0,1.5,0.5,yes,yes. Intro was 0
Russia,Russia,Russia,,4th,Russian,1,1,0,0,1,0,2,1,yes,
Rwanda,Rwanda,Rwanda,,5th,English,1,0.5,0.5,0,0,1,2,1,yes,yes
S. Geo. and the Is.,,S. Geo. and S. Sandw. Is.,,,,,,,,,,,,,
S. Sudan,,S. Sudan,,,,,,,,,,,,,
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Princip,,5th,French,1,0,0,0,0,0,1,0,yes,
Saint Helena,,"Saint Helena, Ascension and Tris",,,,,,,,,,,,,
Saint Lucia,Saint Lucia,Saint Lucia,,4th,English,1,0.5,0.5,0.5,0,0,2,0.5,yes,
Samoa,Samoa,Samoa,,4th,English,1,1,1,1,0,1,3,2,yes,
San Marino,,San Marino,,,,,,,,,,,,,
Saudi Arabia,Saudi Arabia - english 2008,Saudi Arabia,,4th,Arabic,1,1,0.5,0,0,0,2.5,0,yes,
Scarborough Reef,,Scarborough Reef,,,,,,,,,,,,,
Senegal,Senegal,Senegal,,5th,French,1,0.5,0.5,0,1,0,2,1,yes,
Serbia,Serbia,Serbia,,4th,English,1,0.5,0.5,0.5,1,0,2,1.5,research added because of FAISIE,yes
Serranilla Bank,,Serranilla Bank,,,,,,,,,,,,,
Seychelles,Seychelles,Seychelles,,4th,English,1,0,1,0.5,0,0,2,0.5,yes,
Siachen Glacier,,Siachen Glacier,,,,,,,,,,,,,
Sierra Leone,,Sierra Leone,,,,,,,,,,,,,
Singapore,Singapore,Singapore,,4th,English,1,0,0.5,0.5,0,0,1.5,0.5,yes,
Sint Maarten,,Sint Maarten,,,,,,,,,,,,,
Slovakia,Slovakia,Slovakia,,4th,English,1,1,0,0.5,0,0,2,0.5,yes,yes. Intro was 0
Slovenia,Slovenia,Slovenia,,4th,English,1,1,0,0.5,1,1,2,2.5,yes,yes
Solomon Is.,Solomon Is.,Solomon Islands,,5th,English,1,0.5,0.5,0,1,0,2,1,yes,
Somalia,Somalia,Somalia,,5th,English,1,0.5,0,0,0,0,1.5,0,yes,yes
Somaliland,,Somaliland,,,,,,,,,,,,,
South Africa,South Africa,South Africa,,5th,English,1,1,1,0,1,1,3,2,inconsistencies corrected,yes
Spain,Spain,Spain,,5th,Spanish,1,1,0.5,0.5,1,1,2.5,2.5,inconsistencies corrected,intro was 0
Spratly Is.,,Spratly Is.,,,,,,,,,,,,,
Sri Lanka,Sri Lanka,Sri Lanka,,4th,English,1,1,0.5,0.5,0,0,2.5,0.5,yes,yes
Saint Kitts and Nevis,,St. Kitts and Nevis,,,,,,,,,,,,,
St. Pierre and Miquelon,,Saint Pierre and Miquelon,,,,,,,,,,,,,
St. Vin. and Gren.,St. Vin. and Gren.,St. Vin. and Gren.,,4th,English,1,0.5,0,0,0,0,1.5,0,yes,
St-Barthélemy,,St-Barthélemy,,,,,,,,,,,,,
Saint-Martin,,St-Martin,,,,,,,,,,,,,
Sudan,Sudan,Sudan,,5th,English,1,0.5,0.5,0,1,0,2,1,yes,yes
Suriname,Suriname,Suriname,,4th,English,0,0.5,0.5,0.5,0,0,1,0.5,yes,yes
eSwatini,Swaziland,Swaziland,,4th,English,1,1,0.5,0,0,1,2.5,1,yes,yes
Sweden,Sweden,Sweden,,5th,English,1,0.5,0.5,0.5,1,0,2,1.5,yes,yes
Switzerland,Switzerland,Switzerland,,5th,English,1,1,0,1,1,1,2,3,inconsistencies corrected,yes
Syria,Syria,Syria,,4th,English,1,0,0,0,0,0,1,0,yes,yes
Taiwan,,Taiwan,,,,,,,,,,,,,
Tajikistan,Tajikistan,Tajikistan,,5th,English,1,1,0,0,0,0,2,0,yes,yes
Tanzania,Tanzania,Tanzania,,5th,English,1,1,0.5,0,0,0,2.5,0,yes,yes
Thailand,Thailand,Thailand,,4th,English,1,1,0,0,0,0,2,0,yes,yes
Timor-Leste,Timor-Leste,Timor-Leste,,4th,English,1,1,0,0,0,0,2,0,yes,yes
Togo,Togo,Togo,,4th,French,1,0.5,0,0,0,0,1.5,0,yes,
Tonga,Tonga,Tonga,,5th,English,1,0.5,0.5,0.5,1,0,2,1.5,yes,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,,4th,English,1,1,0.5,0.5,0,0,2.5,0.5,yes,yes
Tunisia,Tunisia,Tunisia,,4th,French,0,0.5,0.5,0,1,0,1,1,yes,
Turkey,Turkey,Turkey,,4th,English,1,0.5,0,0.5,0,0,1.5,0.5,yes,yes
Turkmenistan,Turkmenistan,Turkmenistan,,4th,English,1,1,0.5,0.5,1,0,2.5,1.5,yes,yes
Turks and Caicos Is.,,Turks and Caicos Islands,,,,,,,,,,,,,
Tuvalu,Tuvalu,Tuvalu,,4th,English,1,0.5,0.5,0.5,0,0,2,0.5,yes,
U.S. Minor Outlying Is.,,United States Minor Outlying Isl,,,,,,,,,,,,,
U.S. Virgin Is.,,"Virgin Islands, U.S.",,,,,,,,,,,,,
Uganda,Uganda,Uganda,,5th,English,1,0,0,0,1,0,1,1,yes,yes
Ukraine,Ukraine,Ukraine,,4th,Russian,1,1,0.5,1,1,0,2.5,2,inconsistencies corrected,
United Arab Emirates,United Arab Emirates,United Arab Emirates,,5th,Arabic,1,1,0.5,0.5,1,0,2.5,1.5,yes,
United Kingdom,United Kingdom,United Kingdom,,5th,English,1,1,1,1,1,1,3,3,yes,
